være;Jeg er glad.;to be;I am happy.;
bred;Sengen er veldig bred.;wide;The bed is very wide.;
et vedtak;Styret gjør et viktig vedtak.;a decision;The board makes an important decision.;
å vare;Møtet skal vare i en time.;to last;The meeting will last for an hour.;
et sentrum;Vi bor i sentrum.;a (city) center;We live in the center.;
å fremme;Han vil fremme et nytt forslag.;to promote;He wants to promote a new proposal.;
sjelden;Jeg spiser sjelden kake til frokost.;rarely;I rarely eat cake for breakfast.;
hyggelig;Det er hyggelig å møte deg.;nice;It is nice to meet you.;
å bekrefte;Kan du bekrefte din adresse?;to confirm;Can you confirm your address?;
ansvarlig;Hun er ansvarlig for dette prosjektet.;responsible;She is responsible for this project.;
en fordel;Det er en stor fordel.;an advantage;It is a great advantage.;
å oppstå;Nye problemer kan oppstå nå.;to arise;New problems can arise now.;
en rettighet;Barn har en spesiell rettighet.;a right;Children have a special right.;
å oppdage;Jeg vil oppdage nye steder.;to discover;I want to discover new places.;
å foregå;Hva skal foregå i kveld?;to take place;What will take place tonight?;
en teknologi;Ny teknologi endrer verden.;a technology;New technology changes the world.;
å innføre;De skal innføre en ny regel.;to introduce;They are going to introduce a new rule.;
å utgjøre;Dette kan utgjøre en stor forskjell.;to constitute;This can constitute a big difference.;
å re;Jeg må re opp sengen min.;to make;I must make my bed.;
lignende;Jeg har en lignende jakke.;similar;I have a similar jacket.;
å uttale;Hvordan skal jeg uttale dette ordet?;to pronounce;How should I pronounce this word?;
kristen;Han er kristen.;christian;He is Christian.;
oppe;Katten sitter oppe på bordet.;up;The cat sits up on the table.;
dansk;Jeg liker dansk mat veldig godt.;danish;I like Danish food very much.;
et stoff;Dette er et mykt stoff.;a material;This is a soft material.;
frisk;Jeg føler meg frisk i dag.;healthy;I feel healthy today.;
et kjøp;Dette er et godt kjøp.;a purchase;This is a good purchase.;
et hjerte;Mitt hjerte banker for deg.;a heart;My heart beats for you.;
begrense;Vi må begrense bruken av plast.;limit;We must limit the use of plastic.;
skyldes;Feilen skyldes en misforståelse.;be due to;The error is due to a misunderstanding.;
en vekst;Barnet har en rask vekst.;a growth;The child has a rapid growth.;
varm;Solen er veldig varm i dag.;warm;The sun is very warm today.;
en post;Jeg sjekker posten min hver dag.;a mail;I check my mail every day.;
umulig;Det er umulig å sove nå.;impossible;It is impossible to sleep now.;
en sau;En sau spiser gress på fjellet.;a sheep;A sheep eats grass on the mountain.;
opprinnelig;Planen var opprinnelig veldig god.;originally;The plan was originally very good.;
en kjærlighet;Kjærlighet er viktig for alle.;a love;Love is important for everyone.;
en vinter;Det snør mye denne vinteren.;a winter;It snows a lot this winter.;
en skyld;Det er ikke min skyld.;a fault;It is not my fault.;
en varme;Jeg liker varme fra ovnen.;a heat;I like heat from the stove.;
et hotell;Vi bor på et billig hotell.;a hotel;We are staying at a cheap hotel.;
flink;Du er veldig flink til å lese.;skilled;You are very good at reading.;
grønn;Gresset er grønt om sommeren.;green;The grass is green in the summer.;
global;Klimaendringer er et globalt problem.;global;Climate change is a global problem.;
en forståelse;Vi trenger en felles forståelse.;an understanding;We need a common understanding.;
mørk;Det er mørkt ute om kvelden.;dark;It is dark outside in the evening.;
et minne;Dette er et godt minne.;a memory;This is a good memory.;
godkjenne;Sjefen må godkjenne søknaden din.;approve;The boss must approve your application.;
æsj;Æsj, maten smaker ikke godt.;yuck;Yuck, the food does not taste good.;
hende;Hva vil skje hvis vi venter?;happen;What will happen if we wait?;
varsle;Du må varsle politiet om ulykken.;notify;You must notify the police about the accident.;
et bord;Boken ligger på et lite bord.;a table;The book lies on a small table.;
Slikt;Slikt kan hende den beste.;Such;Such things can happen to the best.;
tradisjonell;Dette er en tradisjonell norsk middag.;traditional;This is a traditional Norwegian dinner;
en part;De er hver sin part i saken.;a party;They are each a party in the case;
ei gate;Jeg bor i ei rolig gate.;a street;I live in a quiet street;
en konto;Jeg åpner en ny konto i banken.;an account;I am opening a new account in the bank;
enhver;Enhver må ta med sin egen mat.;everyone;Everyone must bring their own food;
ringe;Jeg ringer deg i morgen kveld.;call;I am calling you tomorrow evening;
ei nettside;Denne nettsiden er veldig nyttig.;a website;This website is very useful;
et materiale;Hvilket materiale er denne stolen laget av?;a material;What material is this chair made of;
en omtale;Boken fikk en god omtale.;a review;The book received a good review;
et fjøs;Kua står inne i et fjøs.;a barn;The cow is inside a barn;
tom;Flasken på bordet er helt tom.;empty;The bottle on the table is completely empty;
en enebolig;De bor i en stor enebolig.;a detached house;They live in a large detached house;
konkret;Kan du gi meg et konkret eksempel?;concrete;Can you give me a concrete example;
en avdeling;Han jobber i en annen avdeling.;a department;He works in another department;
historisk;Dette er et viktig historisk sted.;historical;This is an important historical place;
et publikum;Et stort publikum ser på filmen.;an audience;A large audience is watching the film;
snu;Jeg må snu bilen nå.;turn around;I must turn the car around now;
ytterligere;Vi trenger ytterligere informasjon.;additional/further;We need additional information;
ettersom;Jeg blir hjemme ettersom det regner.;since;I am staying home since it is raining.;
en ramme;Bildet har en fin ramme.;a frame;The picture has a nice frame.;
europeisk;Dette er et europeisk land.;European;This is a European country.;
å trykke;Jeg trykker på den røde knappen.;to press;I press the red button.;
en unge;Moren passer på sin unge.;a youngster;The mother looks after her youngster.;
et øl;Han drikker et glass øl.;a beer;He drinks a glass of beer.;
kald;Vinteren i Norge er veldig kald.;cold;The winter in Norway is very cold.;
foreløpig;Planen er foreløpig ikke klar.;for now;The plan is not ready for now.;
en link;Kan du sende meg en lenke?;a link;Can you send me a link?;
å omfatte;Boken omfatter mange temaer.;to include;The book includes many themes.;
syv;Barnet er syv år gammelt.;seven;The child is seven years old.;
usikker;Jeg er usikker på svaret.;uncertain;I am uncertain about the answer.;
å nekte;Han nekter å spise maten.;to refuse;He refuses to eat the food.;
øvre;Vi bor i den øvre etasjen.;upper;We live on the upper floor.;
en søknad;Jeg skriver en søknad på jobben.;an application;I am writing an application for the job.;
perfekt;Dagen i dag er helt perfekt.;perfect;Today is completely perfect.;
en sikkerhet;Dette tiltaket gir bedre sikkerhet.;a security;This measure provides better security.;
en representant;Han er en representant for firmaet.;a representative;He is a representative for the company.;
mer;Jeg vil ha mer kaffe.;more;I want more coffee.;
et begrep;Dette er et vanskelig begrep.;a concept;This is a difficult concept.;
langs;Vi går en tur langs vannet.;along;We take a walk along the water.;
vekk;Vennligst ta med søppelet vekk.;away;Please take the trash away.;
et forsvar;Landet trenger et sterkt forsvar.;a defense;The country needs a strong defense.;
en holdning;Hun har en positiv holdning.;an attitude;She has a positive attitude.;
en konflikt;De prøver å løse en konflikt.;a conflict;They are trying to solve a conflict.;
en maskin;Denne maskinen er veldig gammel.;a machine;This machine is very old.;
nylig;Jeg har nylig kjøpt en bil.;recently;I have recently bought a car.;
en tank;Tanken er full.;a tank;The (car) tank is full.;
å stenge;Butikken stenger klokken åtte.;to close;The shop closes at eight o'clock.;
et nettsted;Dette er et populært nettsted.;a website;This is a popular website.;
å sove;Barnet sover i sengen sin.;to sleep;The child sleeps in their bed.;
vesentlig;Dette er en vesentlig forskjell.;essential;This is an essential difference.;
pen;Hun har på seg en pen kjole.;pretty;She is wearing a pretty dress.;
et nummer;Hva er nummeret ditt?;a number;What is your number?;
en snakk;Det er mye snakk om været.;a talk;There is much talk about the weather.;
en drift;Selskapet har god drift.;an operation;The company has good operation.;
et argument;Han har et godt argument.;an argument;He has a good argument.;
en begynnelse;Alt har en begynnelse.;a beginning;Everything has a beginning.;
ei kone;Kona mi er veldig snill.;a wife;My wife is very kind.;
en journalist;Hun jobber som journalist.;a journalist;She works as a journalist.;
å dreie;Hjulet dreier rundt.;to turn;The wheel turns around.;
et prinsipp;Det er et viktig prinsipp.;a principle;It is an important principle.;
en lenke;Her er en lenke til siden.;a link;Here is a link to the page.;
en religion;De lærer om hverandres religion.;a religion;They learn about each other's religion.;
å fjerne;Han fjerner snøen fra veien.;to remove;He removes the snow from the road.;
et emne;Dette er et spennende emne.;a subject;This is an exciting subject.;
fred;Vi ønsker fred i verden.;peace;We want peace in the world.;
å kommentere;Han kommenterer saken i avisen.;to comment;He comments on the case in the newspaper.;
en katt;En hvit katt sitter i vinduet.;a cat;A white cat sits in the window.;
å lete;Jeg leter etter nøklene mine.;to search;I am searching for my keys.;
en muslim;Han er en snill muslim.;muslim;He is a kind muslim.;
en vestkant;De bor på Oslos vestkant.;west side;They live on Oslo's west side.;
en teori;Jeg har en ny teori.;theory;I have a new theory.;
ei hjemmeside;Dette er min nye hjemmeside.;homepage;This is my new homepage.;
nede;Boken ligger nede i skuffen.;down;The book is down in the drawer.;
et vis;Gjør det på din egen måte.;way;Do it in your own way.;
ei luft;Jeg trenger litt frisk luft.;air;I need some fresh air.;
å hindre;Ingen kan hindre ham nå.;to prevent;No one can prevent him now.;
en oppmerksomhet;Han liker å få oppmerksomhet.;attention;He likes to get attention.;
å fortjene;Du fortjener en god pause.;to deserve;You deserve a good break.;
en bevegelse;Det var en plutselig bevegelse.;movement;It was a sudden movement.;
å variere;Prisene varierer fra dag til dag.;to vary;The prices vary from day to day.;
å dømme;Ikke døm mannen på klærne.;to judge;Do not judge the man by his clothes.;
omkring;Vi går en tur omkring vannet.;around;We go for a walk around the water.;
en ordning;Vi har en god ordning.;arrangement;We have a good arrangement.;
ekstrem;Vinden er ekstrem i dag.;extreme;The wind is extreme today.;
en butikk;Jeg går i butikken nå.;shop;I am going to the shop now.;
en økning;Det er en økning i prisen.;increase;There is an increase in the price.;
klær;Jeg kjøper nye klær i dag.;clothes;I am buying new clothes today.;
en virkelighet;Dette er vår virkelighet.;reality;This is our reality.;
årlig;Vi har en årlig fest.;annual;We have an annual party.;
ei jord;Planter vokser i god jord.;earth;Plants grow in good earth.;
å forlate;Han må forlate rommet nå.;to leave;He must leave the room now.;
sør;Vi reiser mot sør i sommer.;south;We travel towards the south this summer.;
dum;Det var et dumt spørsmål.;stupid;That was a stupid question.;
bortpå;Han sitter bortpå benken.;over at;He is sitting over at the bench.;
en professor;Min professor er veldig flink.;a professor;My professor is very clever.;
kritisk;Det er en kritisk situasjon.;critical;It is a critical situation.;
fordele;Vi må fordele oppgavene.;distribute;We must distribute the tasks.;
en banan;Jeg spiser en gul banan.;a banana;I am eating a yellow banana.;
annerledes;Dette huset er helt annerledes.;different;This house is completely different.;
et stykke;Jeg vil ha et stykke kake.;a piece;I want a piece of cake.;
velkommen;Du er hjertelig velkommen hit.;welcome;You are very welcome here.;
mars;Det er kaldt i mars.;March;It is cold in March.;
understreke;Jeg vil understreke dette poenget.;emphasize;I want to emphasize this point.;
en jakt;De går på jakt i skogen.;a hunt;They go on a hunt in the forest.;
fullstendig;Jeg er fullstendig enig med deg.;completely;I completely agree with you.;
løs;Hunden løper løs i hagen.;loose;The dog runs loose in the garden.;
omfattende;Dette er en omfattende plan.;comprehensive;This is a comprehensive plan.;
et inntrykk;Han gir et godt inntrykk.;an impression;He gives a good impression.;
prege;Mange faktorer vil prege resultatet.;influence;Many factors will influence the result.;
et;Jeg ser et lite hus.;a;I see a small house.;
medføre;Dette kan medføre store problemer.;entail;This can entail big problems.;
deilig;Maten smaker helt deilig.;delicious;The food tastes completely delicious.;
danne;Vi må danne en ny gruppe.;form;We must form a new group.;
heldigvis;Heldigvis skinner sola i dag.;fortunately;Fortunately, the sun is shining today.;
Kina;Han reiser til Kina i morgen.;China;He travels to China tomorrow.;
et kontor;Jeg jobber på et lite kontor.;an office;I work in a small office.;
avgjøre;Vi må avgjøre saken nå.;decide;We must decide the case now.;
en strategi;De lager en god strategi.;a strategy;They are making a good strategy.;
en kostnad;Dette er en høy kostnad for oss.;cost;This is a high cost for us.;
bestille;Jeg vil bestille en pizza nå.;to order;I want to order a pizza now.;
en energi;Solen gir oss mye energi.;energy;The sun gives us a lot of energy.;
studere;Jeg liker å studere norsk hver dag.;to study;I like to study Norwegian every day.;
innom;Jeg stikker innom butikken etterpå.;by;I am dropping by the store later.;
tilpasse;Vi må tilpasse oss en ny plan.;to adapt;We must adapt to a new plan.;
et kilogram;Jeg kjøper et kilogram med epler.;a kilogram;I am buying a kilogram of apples.;
peke;Du må ikke peke på andre folk.;to point;You must not point at other people.;
stikke;Kan du stikke en tur ut?;to pop/go;Can you pop out for a bit?;
fiske;Vi liker å fiske i havet.;to fish;We like to fish in the ocean.;
en undervisning;Læreren gir oss god undervisning.;teaching;The teacher gives us good teaching.;
ei havn;Det ligger mange båter i ei havn.;a harbor;There are many boats in a harbor.;
en art;Dette er en sjelden art.;a species;This is a rare species.;
beholde;Du kan beholde denne boken.;to keep;You can keep this book.;
neppe;Det skjer neppe i dag.;hardly;It will hardly happen today.;
en rygg;Jeg har vondt i ryggen.;back;I have a pain in my back.;
en gård;Bestefar bor på en stor gård.;a farm;Grandfather lives on a large farm.;
britisk;Han snakker med en britisk aksent.;British;He speaks with a British accent.;
en kilometer;Det er en kilometer til skolen.;a kilometer;It is one kilometer to the school.;
en fugl;En liten fugl synger i treet.;a bird;A little bird sings in the tree.;
ei lønn;Jeg får ei god lønn hver måned.;a salary;I get a good salary every month.;
tvinge;Du kan ikke tvinge meg til det.;to force;You cannot force me to do that.;
en strikk;Jeg trenger en strikk til håret.;a rubber band;I need a rubber band for my hair.;
lei;Jeg er lei av dette været.;tired/fed up;I am fed up with this weather.;
spare;Jeg vil spare penger til ferie.;to save;I want to save money for vacation.;
en aktør;Han er en viktig aktør i filmen.;actor;He is an important actor in the movie.;
en institusjon;Dette er en gammel institusjon.;institution;This is an old institution.;
et formål;Hva er ditt formål med reisen?;purpose;What is your purpose with the trip.;
et band;Mitt band spiller musikk i kveld.;band;My band is playing music tonight.;
videregående;Hun går på videregående skole nå.;upper secondary;She goes to upper secondary school now.;
en direktør;En direktør leder selskapet hver dag.;director;A director leads the company every day.;
å måle;Jeg måler bordet med en linjal.;to measure;I measure the table with a ruler.;
en not;Fiskeren bruker en stor not.;fishing net;The fisherman uses a large fishing net.;
en vegg;Jeg maler en hvit vegg.;wall;I am painting a white wall.;
å frykte;De frykter mørket i skogen.;to fear;They fear the darkness in the forest.;
en kunst;Dette er vakker kunst på veggen.;art;This is beautiful art on the wall.;
å reagere;Han reagerer raskt på lyden.;to react;He reacts quickly to the sound.;
å innrømme;Jeg innrømmer at jeg tok feil.;to admit;I admit that I was wrong.;
en hverdag;Jeg liker en rolig hverdag.;everyday life;I like a quiet everyday life.;
å relatere;Jeg kan relatere til din historie.;to relate;I can relate to your story.;
en eiendom;Vi kjøper en stor eiendom nå.;property;We are buying a large property now.;
et sekund;Vennligst vent et sekund på meg.;second;Please wait a second for me.;
uavhengig;Han er en uavhengig mann.;independent;He is an independent man.;
et ledd;Kjedet har et svakt ledd.;link;The chain has a weak link.;
et sitat;Dette er et kjent sitat.;quote;This is a famous quote.;
fattig;Mannen er fattig men veldig glad.;poor;The man is poor but very happy.;
å kutte;Jeg kutter brød til frokost.;to cut;I cut bread for breakfast.;
å engasjere;Læreren engasjerer alle sine elever.;to engage;The teacher engages all his students.;
et flertall;Et flertall stemmer ja i dag.;majority;A majority votes yes today.;
å rapportere;Jeg rapporterer om saken til sjefen.;to report;I report about the case to the boss.;
allikevel;Han er allikevel glad i dag.;anyway;He is happy anyway today.;
spre;Vinden sprer bladene i hagen.;spread;The wind spreads the leaves in the garden.;
en konklusjon;Dette er en god konklusjon.;a conclusion;This is a good conclusion.;
et tidspunkt;Vi møtes på et fast tidspunkt.;a point in time;We meet at a fixed time.;
redigere;Jeg må redigere denne korte teksten.;edit;I must edit this short text.;
vold;Politiet stopper all vold i byen.;violence;The police stop all violence in the city.;
en opplæring;Ny opplæring starter på skolen.;a training;New training starts at the school.;
en ferd;Deres lange ferd slutter her.;a journey;Their long journey ends here.;
en fylkeskommune;Han jobber i en fylkeskommune.;a county municipality;He works in a county municipality.;
et nettverk;Mitt nettverk er veldig stort.;a network;My network is very large.;
en ferie;Vi gleder oss til ferie.;a holiday;We look forward to holiday.;
gul;Solen er stor og gul.;yellow;The sun is big and yellow.;
kjær;Hun er en kjær venn.;dear;She is a dear friend.;
en leilighet;Jeg bor i en liten leilighet.;an apartment;I live in a small apartment.;
en avstand;Det er kort avstand til bussen.;a distance;It is a short distance to the bus.;
påpeke;Jeg må påpeke en viktig feil.;point out;I must point out an important error.;
et spor;Hunden finner et spor i skogen.;a track;The dog finds a track in the forest.;
en reaksjon;Barnet har en rask reaksjon.;a reaction;The child has a quick reaction.;
østkanten;De bor på byens østkant.;the east side;They live on the city's east side.;
et klikk;Jeg hører et klikk fra døren.;a click;I hear a click from the door.;
ei plate;Jeg legger ei plate på bordet.;a plate;I put a plate on the table.;
solid;Dette bordet er veldig solid.;solid;This table is very solid.;
ei hytte;Vi har ei hytte på fjellet.;a cabin;We have a cabin in the mountains.;
angripe;Hunden vil ikke angripe deg.;attack;The dog will not attack you.;
en utgave;Dette er en ny utgave.;an edition;This is a new edition.;
en frihet;Vi elsker vår frihet.;freedom;We love our freedom.;
forandre;Jeg vil forandre verden.;change;I want to change the world.;
savne;Jeg savner deg mye.;miss;I miss you a lot.;
en suksess;Festen er en stor suksess.;success;The party is a great success.;
etterpå;Vi kan spise etterpå.;afterwards;We can eat afterwards.;
en motor;Denne bilen har en sterk motor.;motor;This car has a strong motor.;
anse;Jeg anser dette som viktig.;consider;I consider this important.;
rolig;Barnet er veldig rolig.;quiet;The child is very quiet.;
altfor;Det er altfor varmt her.;too;It is far too warm here.;
tyde;Hva kan dette tyde på?;indicate;What can this indicate?;
oppfordre;Jeg oppfordrer deg til å lese.;encourage;I encourage you to read.;
en kontrakt;Jeg skriver under en kontrakt.;contract;I am signing a contract.;
et unntak;Dette er et lite unntak.;exception;This is a small exception.;
en detalj;Hver detalj er viktig.;detail;Every detail is important.;
en enhet;De fungerer som en enhet.;unit;They function as one unit.;
en cm;Boka er fem cm tykk.;cm;The book is five cm thick.;
dø;Alle planter må dø.;die;All plants must die.;
kontrollere;Han kontrollerer alle tallene.;control;He controls all the numbers.;
en posisjon;Båten har en god posisjon.;position;The boat has a good position.;
igjennom;Vi går igjennom skogen.;through;We are walking through the forest.;
ei sol;Sola skinner i dag.;sun;The sun is shining today.;
et hår;Hun har langt hår.;hair;She has long hair.;
et budsjett;Vi har et lavt budsjett.;budget;We have a low budget.;
streng;Læreren er veldig streng.;strict;The teacher is very strict.;
et øyeblikk;Vent et lite øyeblikk.;moment;Wait a small moment.;
hoppe;Jeg liker å hoppe i sengen;jump;I like to jump in the bed;
et slag;Han føler et hardt slag i magen;blow;He feels a hard blow in the stomach;
laste;De må laste alle varene inn i bilen;load;They must load all the goods into the car;
kjempegøy;Det er kjempegøy å spille fotball sammen;great fun;It is great fun to play football together;
et anlegg;Dette er et stort anlegg for sport;facility;This is a large facility for sports;
dog;Det var kaldt, men dog en fin dag;however;It was cold, but however a fine day;
overta;Hun skal overta jobben etter faren sin;take over;She will take over the job after her father;
løpe;Jeg må løpe for å rekke bussen;run;I must run to catch the bus;
et ansikt;Hun har et smilende ansikt;face;She has a smiling face;
vanligvis;Jeg drikker vanligvis kaffe om morgenen;usually;I usually drink coffee in the morning;
et bidrag;Takk for ditt viktige bidrag til prosjektet;contribution;Thank you for your important contribution to the project;
en mamma;Barnet roper på mammaen sin;mom;The child calls for their mom;
en respekt;Vi må vise respekt for andre mennesker;respect;We must show respect for other people;
åtte;Klokka er nå åtte om morgenen;eight;The clock is now eight in the morning;
hundre;Boken koster nøyaktig hundre kroner;hundred;The book costs exactly one hundred kroner;
en nærhet;Jeg trives i nærheten av havet;proximity;I thrive in proximity to the sea;
oppfatte;Det er vanskelig å oppfatte hva han sier;perceive;It is difficult to perceive what he says;
tilhøre;Disse nøklene tilhører den nye læreren;belong;These keys belong to the new teacher;
akseptere;Du må akseptere de nye reglene;accept;You must accept the new rules;
psykisk;Hun jobber med psykisk helse i kommunen;mental;She works with mental health in the municipality;
en beskjed;Jeg legger igjen en beskjed til deg;message;I am leaving a message for you;
en advokat;Advokaten min hjelper meg med kontrakten;lawyer;My lawyer helps me with the contract;
et bry;Jeg vil ikke være til bry for deg;bother;I do not want to be a bother to you;
en innstilling;Hun har en positiv innstilling til jobben.;attitude;She has a positive attitude toward the job.;
diverse;Vi kjøper diverse varer i butikken.;various;We buy various goods in the store.;
en skog;Jeg går en tur i den dype skogen.;a forest;I am taking a walk in the deep forest.;
et trykk;Han føler et stort trykk på skolen.;a pressure;He feels a great pressure at school.;
en dom;Dommeren leser opp en streng dom.;a judgment;The judge reads out a strict judgment.;
å ri;Hun liker å ri på hesten sin.;to ride;She likes to ride her horse.;
grunnleggende;Dette er et grunnleggende kurs i norsk.;basic;This is a basic course in Norwegian.;
engang;Jeg har ikke engang sett filmen.;even;I have not even seen the movie.;
gøy;Det er gøy å leke i snøen.;fun;It is fun to play in the snow.;
en sjef;Min sjef gir meg mange oppgaver.;a boss;My boss gives me many tasks.;
å forsvare;Soldaten må forsvare landet sitt.;to defend;The soldier must defend his country.;
indre;Hun finner sin indre ro i skogen.;inner;She finds her inner peace in the forest.;
frivillig;Det er frivillig å delta på festen.;voluntary;It is voluntary to participate in the party.;
en forutsetning;God planlegging er en forutsetning for suksess.;a prerequisite;Good planning is a prerequisite for success.;
ei datter;Min datter leker i hagen hver dag.;a daughter;My daughter plays in the garden every day.;
å presse;De må presse juice fra ferske epler.;to press;They must press juice from fresh apples.;
nyttig;Dette verktøyet er veldig nyttig for oss.;useful;This tool is very useful for us.;
en brann;Brannvesenet slukker en stor brann.;a fire;The fire department puts out a large fire.;
tøff;Han er en tøff mann som tåler alt.;tough;He is a tough man who endures everything.;
å lykkes;Du må jobbe hardt for å lykkes.;to succeed;You must work hard to succeed.;
et angrep;Hæren planlegger et angrep i morgen.;an attack;The army plans an attack tomorrow.;
å fokusere;Eleven må fokusere på leksene sine.;to focus;The student must focus on their homework.;
avgjørende;Dette er et avgjørende øyeblikk for oss.;decisive;This is a decisive moment for us.;
en utstilling;Vi ser på en fin utstilling på museet.;an exhibition;We are looking at a nice exhibition at the museum.;
en finger;Jeg har en ring på min finger.;a finger;I have a ring on my finger.;
en veranda;Vi sitter på en veranda og drikker kaffe;veranda;We are sitting on a veranda drinking coffee;
individuell;Hver elev får individuell oppfølging på skolen;individual;Each student receives individual follow-up at school;
et utland;Han reiser ofte til utlandet i ferien;foreign country;He often travels abroad during the holiday;
tja;Tja, jeg er ikke helt sikker på det;well;Well, I am not quite sure about that;
ok;Det er ok at du kommer litt sent;ok;It is ok that you are coming a little late;
å lagre;Du må lagre dokumentet før du lukker programmet;to save;You must save the document before you close the program;
en samtale;Vi har en hyggelig samtale om politikk;conversation;We are having a pleasant conversation about politics;
å beskytte;Klærne skal beskytte oss mot kulden;to protect;The clothes shall protect us against the cold;
å erstatte;Jeg må erstatte den gamle mobilen med en ny;to replace;I must replace the old mobile with a new one;
automatisk;Døren åpner seg automatisk når du går forbi;automatic;The door opens automatically when you walk past;
umiddelbar;Vi trenger en umiddelbar løsning på problemet;immediate;We need an immediate solution to the problem;
et kvartal;Gå ett kvartal til og sving til høyre;block;Walk one more block and turn right;
en mage;Jeg har litt vondt i magen i dag;stomach;I have a bit of a stomach ache today;
seriøs;Han er en seriøs mann som jobber hardt;serious;He is a serious man who works hard;
en vilje;Hun har en sterk vilje til å lære;will;She has a strong will to learn;
et fylke;Oslo er både en kommune og et fylke;county;Oslo is both a municipality and a county;
en greie;Det er en merkelig greie som skjedde i går;thing;It is a strange thing that happened yesterday;
fransk;Hun snakker fransk flytende etter tre år i Paris;French;She speaks French fluently after three years in Paris;
en uttalelse;Politiet gir en kort uttalelse til pressen;statement;The police give a short statement to the press;
ei bikkje;Naboen har ei bikkje som bjeffer mye;dog;The neighbor has a dog that barks a lot;
et dokument;Du må skrive under på et viktig dokument;document;You must sign an important document;
å skremme;Han liker å skremme vennene sine i mørket;to scare;He likes to scare his friends in the dark;
jevn;Bilen holder en jevn fart på motorveien;steady;The car keeps a steady speed on the highway;
liksom;Det var liksom ikke helt det jeg mente;sort of;It was sort of not quite what I meant;
en smak;Kaken har en god smak av sjokolade;taste;The cake has a good taste of chocolate;
en produsent;Norge er en stor produsent av olje og gass.;a producer;Norway is a large producer of oil and gas.;
å smile;Hun smiler når hun ser ham.;to smile;She smiles when she sees him.;
en fest;Vi skal på en fest på lørdag kveld.;a party;We are going to a party on Saturday night.;
en konferanse;Mange eksperter deltar på denne konferansen.;a conference;Many experts are participating in this conference.;
en russ;Norsk russ feirer slutten på videregående skole.;a high school graduate;Norwegian graduates celebrate the end of high school.;
en eier;Hvem er den stolte eier av denne bilen?;an owner;Who is the proud owner of this car?;
et utslipp;Fabrikken må redusere sine utslipp til naturen.;an emission;The factory must reduce its emissions to nature.;
et oppdrag;Soldaten utfører et viktig oppdrag for landet.;a mission;The soldier carries out an important mission for the country.;
sannsynligvis;Det blir sannsynligvis regn i ettermiddag.;probably;It will probably rain this afternoon.;
dobbel;Jeg vil gjerne ha en dobbel kaffe, takk.;double;I would like a double coffee, please.;
å foreligge;Det foreligger en skriftlig avtale mellom partene.;to exist;A written agreement exists between the parties.;
en tradisjon;Det er en gammel tradisjon å spise pinnekjøtt.;a tradition;It is an old tradition to eat lamb ribs.;
forsiktig;Vær forsiktig når du går på glatt is.;careful;Be careful when you walk on slippery ice.;
relevant;Dette er ikke relevant for saken vår.;relevant;This is not relevant to our case.;
utenlandsk;Hun snakker et utenlandsk språk flytende.;foreign;She speaks a foreign language fluently.;
forresten;Jeg har forresten glemt nøklene mine i bilen.;by the way;I have by the way forgotten my keys in the car.;
et skifte;Vi trenger et skifte i norsk politikk.;a shift;We need a shift in Norwegian politics.;
ukjent;Mannen i videoen er fortsatt ukjent for politiet.;unknown;The man in the video is still unknown to the police.;
å befinne;Jeg befinner meg nå midt i Oslo sentrum.;to be located;I am now located in the middle of Oslo center.;
en fot;Han har skadet sin høyre fot i en ulykke.;a foot;He has injured his right foot in an accident.;
en forskrift;Alle må følge denne nye forskriften fra myndighetene.;a regulation;Everyone must follow this new regulation from the authorities.;
å sitere;Læreren siterer en kjent forfatter i timen.;to quote;The teacher quotes a famous author in class.;
statlig;Han jobber i en statlig organisasjon.;state;He works in a state organization.;
å bringe;Vennligst bring denne pakken til naboen.;to bring;Please bring this package to the neighbor.;
en mangel;Det er en stor mangel på sykepleiere nå.;a shortage;There is a large shortage of nurses now.;
bekymre;Jeg vil ikke bekymre deg med mine problemer.;worry;I do not want to worry you with my problems.;
et gym;Han trener på et gym hver morgen.;gym;He works out at a gym every morning.;
undersøke;Legen må undersøke pasienten grundig.;examine;The doctor must examine the patient thoroughly.;
en soldat;En soldat må følge mange strenge regler.;soldier;A soldier must follow many strict rules.;
oppgi;Du må oppgi navnet ditt på skjemaet.;state;You must state your name on the form.;
utnytte;Vi bør utnytte tiden vår på en god måte.;exploit;We should exploit our time in a good way.;
et design;Dette rommet har et veldig moderne design.;design;This room has a very modern design.;
motsatt;De bor på den motsatte siden av gaten.;opposite;They live on the opposite side of the street.;
en drøm;Jeg hadde en merkelig drøm i natt.;dream;I had a strange dream last night.;
en munn;Han åpner munnen for å si noe.;mouth;He opens his mouth to say something.;
religiøs;Hun er en veldig religiøs person.;religious;She is a very religious person.;
et felt;Han jobber innenfor et spennende felt.;field;He works within an exciting field.;
en artist;En dyktig artist synger på scenen.;artist;A skilled artist sings on the stage.;
anta;Jeg vil anta at de kommer snart.;assume;I will assume that they are coming soon.;
blå;Himmelen er helt blå og klar i dag.;blue;The sky is completely blue and clear today.;
en forklaring;Læreren gir en enkel forklaring på oppgaven.;explanation;The teacher gives a simple explanation of the task.;
nærme;Bussen begynner å nærme seg stasjonen.;approach;The bus is beginning to approach the station.;
en forside;Bildet står på forsiden av avisen.;front page;The picture is on the front page of the newspaper.;
en sønn;Deres sønn begynner på skolen i august.;son;Their son starts school in August.;
